slug,name,grade,province,city,source,source_url,license
5a-neimenggu-003,呼伦贝尔市呼伦贝尔大草原·莫尔格勒河景区,5A,内蒙古自治区,呼伦贝尔市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-neimenggu-004,呼和浩特市老牛湾黄河大峡谷旅游区,5A,内蒙古自治区,呼和浩特市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-neimenggu-005,赤峰市阿斯哈图石林景区,5A,内蒙古自治区,赤峰市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-neimenggu-006,鄂尔多斯市响沙湾旅游景区,5A,内蒙古自治区,鄂尔多斯市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-neimenggu-007,鄂尔多斯市成吉思汗陵旅游区,5A,内蒙古自治区,鄂尔多斯市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-neimenggu-008,阿拉善盟胡杨林旅游区,5A,内蒙古自治区,阿拉善盟,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-beijing-001,北京奥林匹克公园景区,5A,北京市,北京市,北京市文化和旅游局 · 北京旅游网景点链接列表,https://whlyj.beijing.gov.cn/ggfw/ly/202511/t20251119_4287815.html,政府公开信息（官方名录）
5a-beijing-002,北京（通州）大运河文化旅游景区,5A,北京市,北京市,北京市文化和旅游局 · 北京旅游网景点链接列表,https://whlyj.beijing.gov.cn/ggfw/ly/202511/t20251119_4287815.html,政府公开信息（官方名录）
5a-beijing-003,圆明园遗址公园景区,5A,北京市,北京市,北京市文化和旅游局 · 北京旅游网景点链接列表,https://whlyj.beijing.gov.cn/ggfw/ly/202511/t20251119_4287815.html,政府公开信息（官方名录）
5a-beijing-004,天坛公园景区,5A,北京市,北京市,北京市文化和旅游局 · 北京旅游网景点链接列表,https://whlyj.beijing.gov.cn/ggfw/ly/202511/t20251119_4287815.html,政府公开信息（官方名录）
5a-beijing-005,恭王府景区,5A,北京市,北京市,北京市文化和旅游局 · 北京旅游网景点链接列表,https://whlyj.beijing.gov.cn/ggfw/ly/202511/t20251119_4287815.html,政府公开信息（官方名录）
5a-beijing-006,慕田峪长城景区,5A,北京市,北京市,北京市文化和旅游局 · 北京旅游网景点链接列表,https://whlyj.beijing.gov.cn/ggfw/ly/202511/t20251119_4287815.html,政府公开信息（官方名录）
5a-beijing-007,明十三陵景区,5A,北京市,北京市,北京市文化和旅游局 · 北京旅游网景点链接列表,https://whlyj.beijing.gov.cn/ggfw/ly/202511/t20251119_4287815.html,政府公开信息（官方名录）
5a-jilin-001,延边州六鼎山文化旅游区,5A,吉林省,延边朝鲜族自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-jilin-002,松原市前郭查干湖景区,5A,吉林省,松原市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-jilin-003,白城市大安嫩江湾旅游区,5A,吉林省,白城市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-jilin-004,通化市高句丽文物古迹旅游景区,5A,吉林省,通化市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-jilin-005,长春市世界雕塑公园景区,5A,吉林省,长春市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-jilin-006,长春市净月潭景区,5A,吉林省,长春市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-jilin-007,长春市长影世纪城景区,5A,吉林省,长春市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-001,南充市朱德故里景区,5A,四川省,南充市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-002,南充市阆中古城旅游景区,5A,四川省,南充市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-003,巴中市光雾山旅游景区,5A,四川省,巴中市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-004,广元市剑门蜀道剑门关旅游景区,5A,四川省,广元市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-005,广安市邓小平故里旅游区,5A,四川省,广安市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-006,成都市天台山景区,5A,四川省,成都市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-007,成都市安仁古镇景区,5A,四川省,成都市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-008,成都市青城山-都江堰旅游景区,5A,四川省,成都市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-009,甘孜州海螺沟景区,5A,四川省,甘孜藏族自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-010,甘孜州稻城亚丁旅游景区,5A,四川省,甘孜藏族自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-011,绵阳市羌城旅游区,5A,四川省,绵阳市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-012,阿坝州九寨沟景区,5A,四川省,阿坝藏族羌族自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-013,阿坝州四姑娘山景区,5A,四川省,阿坝藏族羌族自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-014,阿坝州汶川特别旅游区,5A,四川省,阿坝藏族羌族自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-015,阿坝州黄龙风景名胜区,5A,四川省,阿坝藏族羌族自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-sichuan-016,雅安市碧峰峡旅游景区,5A,四川省,雅安市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-tianjin-001,天津古文化街旅游区（津门故里）,5A,天津市,南开区,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-tianjin-002,盘山风景名胜区,5A,天津市,蓟州区,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-ningxia-001,中卫市沙坡头旅游景区,5A,宁夏回族自治区,中卫市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-ningxia-002,吴忠市青铜峡黄河大峡谷旅游区,5A,宁夏回族自治区,吴忠市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-ningxia-003,固原市六盘山红军长征旅游区,5A,宁夏回族自治区,固原市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-ningxia-004,石嘴山市沙湖旅游景区,5A,宁夏回族自治区,石嘴山市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-ningxia-005,银川市宁夏镇北堡西部影视城,5A,宁夏回族自治区,银川市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-ningxia-006,银川市水洞沟旅游区,5A,宁夏回族自治区,银川市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-anhui-001,六安市万佛湖风景区,5A,安徽省,六安市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-anhui-002,六安市天堂寨旅游景区,5A,安徽省,六安市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-anhui-003,合肥市三河古镇景区,5A,安徽省,合肥市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-anhui-004,安庆市天柱山风景区,5A,安徽省,安庆市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-anhui-005,宣城市龙川景区,5A,安徽省,宣城市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-anhui-006,池州市九华山风景区,5A,安徽省,池州市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-anhui-007,滁州市琅琊山景区,5A,安徽省,滁州市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-anhui-008,芜湖市方特旅游区,5A,安徽省,芜湖市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-anhui-009,阜阳市八里河风景区,5A,安徽省,阜阳市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-anhui-010,马鞍山市长江采石矶文化生态旅游区,5A,安徽省,马鞍山市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-anhui-011,黄山市古徽州文化旅游区,5A,安徽省,黄山市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-anhui-012,黄山市皖南古村落-西递宏村,5A,安徽省,黄山市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-001,东营市黄河口生态旅游区,5A,山东省,东营市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-002,临沂市萤火虫水洞•地下大峡谷旅游区,5A,山东省,临沂市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-003,沂蒙山旅游区,5A,山东省,临沂市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-004,威海市刘公岛景区,5A,山东省,威海市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-005,威海市威海华夏城景区,5A,山东省,威海市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-006,枣庄市台儿庄古城景区,5A,山东省,枣庄市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-007,济南市天下第一泉景区,5A,山东省,济南市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-008,济宁市微山湖旅游区,5A,山东省,济宁市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-009,济宁市明故城三孔旅游区,5A,山东省,济宁市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-010,淄博市周村古商城景区,5A,山东省,淄博市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-011,潍坊市青州古城景区,5A,山东省,潍坊市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-012,烟台市南山景区,5A,山东省,烟台市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-013,烟台市蓬莱阁-三仙山-八仙过海旅游区,5A,山东省,烟台市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-014,青岛市奥帆海洋文化旅游区,5A,山东省,青岛市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shandong-015,青岛市崂山景区,5A,山东省,青岛市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shanxi-001,临汾市云丘山景区,5A,山西省,临汾市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shanxi-002,临汾市洪洞大槐树寻根祭祖园旅游景区,5A,山西省,临汾市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shanxi-003,黄河壶口瀑布旅游区(陕西省延安市·山西省临汾市),5A,山西省,临汾市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shanxi-004,太原市晋祠天龙山景区,5A,山西省,太原市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shanxi-005,忻州市五台山风景名胜区,5A,山西省,忻州市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shanxi-006,忻州市雁门关景区,5A,山西省,忻州市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shanxi-007,晋中市乔家大院景区,5A,山西省,晋中市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shanxi-008,晋中市绵山风景区,5A,山西省,晋中市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shanxi-009,晋城市皇城相府生态文化旅游区,5A,山西省,晋城市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shanxi-010,长治市太行山大峡谷八泉峡景区,5A,山西省,长治市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-guangdong-001,中山市孙中山故里旅游区,5A,广东省,中山市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-002,佛山市西樵山景区,5A,广东省,佛山市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-003,佛山市长鹿旅游休博园,5A,广东省,佛山市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-004,广州市白云山风景区,5A,广东省,广州市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-005,广州市长隆旅游度假区,5A,广东省,广州市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-006,惠州市罗浮山景区,5A,广东省,惠州市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-007,惠州市西湖旅游景区,5A,广东省,惠州市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-008,梅州市雁南飞茶田景区,5A,广东省,梅州市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-009,江门市开平碉楼文化旅游区,5A,广东省,江门市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-010,河源市万绿湖风景区,5A,广东省,河源市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-011,深圳市华侨城旅游度假区,5A,广东省,深圳市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-012,深圳市观澜湖休闲度假区,5A,广东省,深圳市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-013,清远市连州地下河旅游景区,5A,广东省,清远市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-014,肇庆市七星岩-鼎湖山旅游景区,5A,广东省,肇庆市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-015,阳江市海陵岛大角湾海上丝路旅游区,5A,广东省,阳江市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangdong-016,韶关市丹霞山景区,5A,广东省,韶关市,广东省文化和旅游厅 · 广东省A级旅游景区名录,,政府公开信息（官方名录）
5a-guangxi-001,北海市涠洲岛南湾鳄鱼山景区,5A,广西壮族自治区,北海市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-guangxi-002,南宁市青秀山风景名胜旅游区,5A,广西壮族自治区,南宁市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-guangxi-003,崇左市德天跨国瀑布景区,5A,广西壮族自治区,崇左市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-guangxi-004,崇左市花山岩画景区,5A,广西壮族自治区,崇左市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-guangxi-005,柳州市程阳八寨景区,5A,广西壮族自治区,柳州市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-guangxi-006,桂林市两江四湖•象山景区,5A,广西壮族自治区,桂林市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-guangxi-007,桂林市漓江风景区,5A,广西壮族自治区,桂林市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-guangxi-008,桂林市独秀峰•靖江王城景区,5A,广西壮族自治区,桂林市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-guangxi-009,百色市百色起义纪念园景区,5A,广西壮族自治区,百色市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-guangxi-010,贺州市黄姚古镇景区,5A,广西壮族自治区,贺州市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-001,乌鲁木齐市天山大峡谷,5A,新疆维吾尔自治区,乌鲁木齐市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-002,伊犁哈萨克自治州喀拉峻景区,5A,新疆维吾尔自治区,伊犁哈萨克自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-003,伊犁哈萨克自治州那拉提旅游风景区,5A,新疆维吾尔自治区,伊犁哈萨克自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-004,克拉玛依市世界魔鬼城景区,5A,新疆维吾尔自治区,克拉玛依市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-005,博尔塔拉蒙古自治州赛里木湖景区,5A,新疆维吾尔自治区,博尔塔拉蒙古自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-006,吐鲁番市葡萄沟风景区,5A,新疆维吾尔自治区,吐鲁番地区,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-007,喀什地区喀什古城景区,5A,新疆维吾尔自治区,喀什地区,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-008,喀什地区帕米尔旅游区,5A,新疆维吾尔自治区,喀什地区,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-009,喀什地区金湖杨景区,5A,新疆维吾尔自治区,喀什地区,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-010,巴音郭楞蒙古自治州博斯腾湖景区,5A,新疆维吾尔自治区,巴音郭楞蒙古自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-011,巴音郭楞蒙古自治州巴音布鲁克景区,5A,新疆维吾尔自治区,巴音郭楞蒙古自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-012,昌吉回族自治州天山天池风景名胜区,5A,新疆维吾尔自治区,昌吉回族自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-013,昌吉回族自治州江布拉克景区,5A,新疆维吾尔自治区,昌吉回族自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-014,阿克苏地区天山托木尔景区,5A,新疆维吾尔自治区,阿克苏地区,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-015,兵团十师185团白沙湖景区（阿勒泰地区）,5A,新疆维吾尔自治区,阿勒泰地区,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-016,阿勒泰地区可可托海景区,5A,新疆维吾尔自治区,阿勒泰地区,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-xinjiang-017,兵团阿拉尔市塔克拉玛干•三五九旅文化旅游区,5A,新疆维吾尔自治区,阿拉尔市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-jiangsu-001,南京市夫子庙-秦淮风光带,5A,江苏省,南京市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-jiangsu-002,南京市钟山风景名胜区-中山陵园风景区,5A,江苏省,南京市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
